	Z	Ion	Initial Level	Final Level	Wavelength	Oscillator Strength	A Coefficient
22960	14	101	88	6	5.857200e+01	1.006000e-04	4.944000e+07
22961	14	101	88	7	5.857300e+01	2.451000e-04	1.205000e+08
22962	14	101	88	8	6.144500e+01	1.637000e-05	7.322000e+06
22963	14	101	89	3	5.333800e+01	1.510000e-04	8.869000e+07
22964	14	101	89	4	5.340800e+01	9.357000e-05	5.482000e+07
22965	14	101	89	5	5.351000e+01	8.375000e-05	4.888000e+07
22966	14	101	89	6	5.720800e+01	1.678000e-02	8.642000e+09
22967	14	101	89	7	5.720900e+01	1.566000e-01	8.066000e+10
22968	14	101	89	8	5.994500e+01	3.451000e-02	1.621000e+10
22969	14	101	89	9	6.076000e+01	5.476000e-03	2.514000e+09
22970	14	101	89	10	6.090800e+01	1.296000e-02	5.922000e+09
22971	14	101	90	3	-5.083200e+01	4.188000e-03	2.702000e+09
22972	14	101	90	4	-5.089500e+01	5.091000e-03	3.277000e+09
22973	14	101	90	5	-5.098500e+01	4.392000e-04	2.817000e+08
22974	14	101	90	6	-5.476500e+01	3.744000e-03	2.082000e+09
22975	14	101	90	7	-5.476400e+01	3.645000e-04	2.027000e+08
22976	14	101	90	8	-5.731000e+01	2.155000e-05	1.094000e+07
22977	14	101	90	9	-5.828700e+01	4.804000e-04	2.358000e+08
22978	14	101	90	10	-5.842500e+01	8.438000e-05	4.122000e+07
22979	14	101	91	3	-5.035900e+01	1.091000e+00	7.176000e+11
22980	14	101	91	4	-5.042100e+01	8.395000e-01	5.506000e+11
22981	14	101	91	5	-5.051000e+01	2.091000e-02	1.367000e+10
22982	14	101	91	6	-5.421700e+01	2.929000e-02	1.662000e+10
22983	14	101	91	7	-5.421600e+01	4.311000e-03	2.446000e+09
22984	14	101	91	8	-5.671000e+01	6.466000e-05	3.353000e+07
22985	14	101	91	9	-5.766700e+01	1.013000e-02	5.080000e+09
22986	14	101	91	10	-5.780200e+01	2.287000e-03	1.141000e+09
22987	14	101	92	3	5.018300e+01	4.944000e-02	3.281000e+10
