	Z	Ion	Electron	Level	N	L	2S+1	2J+1	Energy	Potential	Configuration
3815	14	101	5	116	3	2	2	6	2.93627991e+02	4.01000000e+02	2s0.2p2.3p1.2D_5/2
3816	14	101	5	117	3	3	2	6	2.99268005e+02	4.01000000e+02	2s0.2p2.3p1.2F_5/2
3817	14	101	5	118	3	2	2	6	3.01682007e+02	4.01000000e+02	2s0.2p2.3p1.2D_5/2#2
3818	14	101	5	119	3	3	4	8	2.63484009e+02	4.01000000e+02	2s1.2p1.3d1.4F_7/2
3819	14	101	5	120	3	2	4	8	2.66928986e+02	4.01000000e+02	2s1.2p1.3d1.4D_7/2
3820	14	101	5	121	3	3	2	8	2.71807007e+02	4.01000000e+02	2s1.2p1.3d1.2F_7/2
3821	14	101	5	122	3	3	2	8	2.85845001e+02	4.01000000e+02	2s1.2p1.3d1.2F_7/2#2
3822	14	101	5	123	3	2	4	8	2.91122986e+02	4.01000000e+02	2s0.2p2.3p1.4D_7/2
3823	14	101	5	124	3	3	2	8	2.99433014e+02	4.01000000e+02	2s0.2p2.3p1.2F_7/2
3824	14	101	5	125	3	3	4	10	2.63859009e+02	4.01000000e+02	2s1.2p1.3d1.4F_9/2
3825	14	101	5	127	2	1	4	2	1.79440002e+03	4.01000000e+02	1s1.2s2.2p2.4P_1/2
3826	14	101	5	128	2	1	4	4	1.79479004e+03	4.01000000e+02	1s1.2s2.2p2.4P_3/2
3827	14	101	5	129	2	1	4	6	1.79537000e+03	4.01000000e+02	1s1.2s2.2p2.4P_5/2
3828	14	101	5	130	2	0	6	6	1.79823999e+03	4.01000000e+02	1s1.2s1.2p3.6S_5/2
3829	14	101	5	131	2	2	2	4	1.80668005e+03	4.01000000e+02	1s1.2s2.2p2.2D_3/2
3830	14	101	5	132	2	2	2	6	1.80677002e+03	4.01000000e+02	1s1.2s2.2p2.2D_5/2
3831	14	101	5	133	2	1	2	2	1.80894995e+03	4.01000000e+02	1s1.2s2.2p2.2P_1/2
3832	14	101	5	134	2	1	2	4	1.80981006e+03	4.01000000e+02	1s1.2s2.2p2.2P_3/2
3833	14	101	5	135	2	0	2	2	1.81357996e+03	4.01000000e+02	1s1.2s2.2p2.2S_1/2
3834	14	101	5	136	2	0	4	4	1.82301001e+03	4.01000000e+02	1s1.2s1.2p3.4S_3/2
3835	14	101	5	137	2	2	4	6	1.82301001e+03	4.01000000e+02	1s1.2s1.2p3.4D_5/2
3836	14	101	5	138	2	2	4	2	1.82303003e+03	4.01000000e+02	1s1.2s1.2p3.4D_1/2
3837	14	101	5	139	2	2	4	8	1.82306006e+03	4.01000000e+02	1s1.2s1.2p3.4D_7/2
3838	14	101	5	140	2	2	4	4	1.82419995e+03	4.01000000e+02	1s1.2s1.2p3.4D_3/2
3839	14	101	5	141	2	1	4	4	1.82995996e+03	4.01000000e+02	1s1.2s1.2p3.4P_3/2
3840	14	101	5	142	2	1	4	2	1.82998999e+03	4.01000000e+02	1s1.2s1.2p3.4P_1/2
3841	14	101	5	143	2	1	4	6	1.83000000e+03	4.01000000e+02	1s1.2s1.2p3.4P_5/2
3842	14	101	5	144	2	2	2	4	1.84003003e+03	4.01000000e+02	1s1.2s1.2p3.2D_3/2
3843	14	101	5	145	2	2	2	6	1.84007996e+03	4.01000000e+02	1s1.2s1.2p3.2D_5/2
3844	14	101	5	146	2	1	2	4	1.84541003e+03	4.01000000e+02	1s1.2s1.2p3.2P_3/2
3845	14	101	5	147	2	0	4	4	1.84690002e+03	4.01000000e+02	1s1.2s1.2p3.4S_3/2#2
3846	14	101	5	148	2	1	2	2	1.84695996e+03	4.01000000e+02	1s1.2s1.2p3.2P_1/2
3847	14	101	5	149	2	2	2	6	1.84956995e+03	4.01000000e+02	1s1.2s1.2p3.2D_5/2#2
3848	14	101	5	150	2	2	2	4	1.84966003e+03	4.01000000e+02	1s1.2s1.2p3.2D_3/2#2
3849	14	101	5	151	2	1	2	2	1.85630005e+03	4.01000000e+02	1s1.2s1.2p3.2P_1/2#2
